# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
1.463570118019079727e-02,9.154959741737196738e-08,6.012975083213712129e-10,6.012975083213712129e-10
1.480560181389910766e-02,9.158130226515110583e-08,6.082777550849518836e-10,6.082777550849518836e-10
1.497747476345201618e-02,9.161301809274229943e-08,6.153390329717113751e-10,6.153390329717114785e-10
1.515134292476053024e-02,9.164474490394798498e-08,6.224822826396561999e-10,6.224822826396560965e-10
1.532722945952613366e-02,9.167648270257196244e-08,6.297084556663946240e-10,6.297084556663946240e-10
1.550515779832624570e-02,9.170823149241930233e-08,6.370185146758911359e-10,6.370185146758911359e-10
1.568515164373547946e-02,9.173999127729639867e-08,6.444134334666901950e-10,6.444134334666902984e-10
1.586723497348317691e-02,9.177176206101102190e-08,6.518941971416299387e-10,6.518941971416300421e-10
1.605143204364761420e-02,9.180354384737217330e-08,6.594618022390627028e-10,6.594618022390628062e-10
1.623776739188721729e-02,9.183533664019021736e-08,6.671172568655945555e-10,6.671172568655945555e-10
1.642626584070932053e-02,9.186714044327688173e-08,6.748615808303673168e-10,6.748615808303673168e-10
1.661695250077688951e-02,9.189895526044511170e-08,6.826958057808992955e-10,6.826958057808992955e-10
1.680985277425363703e-02,9.193078109550926870e-08,6.906209753405034605e-10,6.906209753405034605e-10
1.700499235818793073e-02,9.196261795228498468e-08,6.986381452472974178e-10,6.986381452472974178e-10
1.720239724793599240e-02,9.199446583458922833e-08,7.067483834948284567e-10,7.067483834948285601e-10
1.740209374062485007e-02,9.202632474624026536e-08,7.149527704743297973e-10,7.149527704743297973e-10
1.760410843865552535e-02,9.205819469105773790e-08,7.232523991186295442e-10,7.232523991186295442e-10
1.780846825324682026e-02,9.209007567286258512e-08,7.316483750477275464e-10,7.316483750477275464e-10
1.801520040802025505e-02,9.212196769547705642e-08,7.401418167160606370e-10,7.401418167160606370e-10
1.822433244262666382e-02,9.215387076272465852e-08,7.487338555614799292e-10,7.487338555614799292e-10
1.843589221641487794e-02,9.218578487843040692e-08,7.574256361559550589e-10,7.574256361559550589e-10
1.864990791214297255e-02,9.221771004642045533e-08,7.662183163580275008e-10,7.662183163580275008e-10
1.886640803973258299e-02,9.224964627052238682e-08,7.751130674670306384e-10,7.751130674670306384e-10
1.908542144006685967e-02,9.228159355456506824e-08,7.841110743791034729e-10,7.841110743791034729e-10
1.930697728883249559e-02,9.231355190237870317e-08,7.932135357450125475e-10,7.932135357450125475e-10
1.953110510040631867e-02,9.234552131779487162e-08,8.024216641298039064e-10,8.024216641298040098e-10
1.975783473178701483e-02,9.237750180464637120e-08,8.117366861743088684e-10,8.117366861743087650e-10
1.998719638657250539e-02,9.240949336676742889e-08,8.211598427585225381e-10,8.211598427585225381e-10
2.021922061898353412e-02,9.244149600799352901e-08,8.306923891668812124e-10,8.306923891668812124e-10
2.045393833793389404e-02,9.247350973216151903e-08,8.403355952554533676e-10,8.403355952554533676e-10
2.069138081114790112e-02,9.250553454310955671e-08,8.500907456210704865e-10,8.500907456210705899e-10
2.093157966932573943e-02,9.253757044467714975e-08,8.599591397724237856e-10,8.599591397724238890e-10
2.117456691035711838e-02,9.256961744070516905e-08,8.699420923031430721e-10,8.699420923031430721e-10
2.142037490358384214e-02,9.260167553503574283e-08,8.800409330668841002e-10,8.800409330668842036e-10
2.166903639411182914e-02,9.263374473151234925e-08,8.902570073544462411e-10,8.902570073544462411e-10
2.192058450717325815e-02,9.266582503397984292e-08,9.005916760729462147e-10,9.005916760729462147e-10
2.217505275253931624e-02,9.269791644628433576e-08,9.110463159270705258e-10,9.110463159270705258e-10
2.243247502898419038e-02,9.273001897227331611e-08,9.216223196024297660e-10,9.216223196024298694e-10
2.269288562880080948e-02,9.276213261579563550e-08,9.323210959510380465e-10,9.323210959510380465e-10
2.295631924236909635e-02,9.279425738070141603e-08,9.431440701789465120e-10,9.431440701789465120e-10
2.322281096277724680e-02,9.282639327084216944e-08,9.540926840360537879e-10,9.540926840360537879e-10
2.349239629049659078e-02,9.285854029007069127e-08,9.651683960081146594e-10,9.651683960081146594e-10
2.376511113811075396e-02,9.289069844224110055e-08,9.763726815109781062e-10,9.763726815109783130e-10
2.404099183509971968e-02,9.292286773120897213e-08,9.877070330870772323e-10,9.877070330870772323e-10
2.432007513267947507e-02,9.295504816083107202e-08,9.991729606042003540e-10,9.991729606042003540e-10
2.460239820869776495e-02,9.298723973496551618e-08,1.010771991456563924e-09,1.010771991456564131e-09
2.488799867258667184e-02,9.301944245747188964e-08,1.022505670768217900e-09,1.022505670768217900e-09
2.517691457037277147e-02,9.305165633221094210e-08,1.034375561598812294e-09,1.034375561598812294e-09
2.546918438974540150e-02,9.308388136304487912e-08,1.046383245151748082e-09,1.046383245151748082e-09
2.576484706518375814e-02,9.311611755383722971e-08,1.058530320984742226e-09,1.058530320984742226e-09
2.606394198314349736e-02,9.314836490845278022e-08,1.070818407222832476e-09,1.070818407222832476e-09
2.636650898730358294e-02,9.318062343075775961e-08,1.083249140773854193e-09,1.083249140773854193e-09
2.667258838387405462e-02,9.321289312461965413e-08,1.095824177546415683e-09,1.095824177546415890e-09
2.698222094696537190e-02,9.324517399390731324e-08,1.108545192670399310e-09,1.108545192670399310e-09
2.729544792402007272e-02,9.327746604249097606e-08,1.121413880720017579e-09,1.121413880720017579e-09
2.761231104130753081e-02,9.330976927424216549e-08,1.134431955939457252e-09,1.134431955939457252e-09
2.793285250948253015e-02,9.334208369303378087e-08,1.147601152471140871e-09,1.147601152471141077e-09
2.825711502920828441e-02,9.337440930273997885e-08,1.160923224586630089e-09,1.160923224586630296e-09
2.858514179684474438e-02,9.340674610723641161e-08,1.174399946920205763e-09,1.174399946920205763e-09
2.891697651020299492e-02,9.343909411039990925e-08,1.188033114705158090e-09,1.188033114705158090e-09
2.925266337436644576e-02,9.347145331610875770e-08,1.201824544012814919e-09,1.201824544012815126e-09
2.959224710757955845e-02,9.350382372824256638e-08,1.215776071994338435e-09,1.215776071994338642e-09
2.993577294720490417e-02,9.353620535068220203e-08,1.229889557125322051e-09,1.229889557125322051e-09
