# k[1/Mpc], P(xi+0.03)/P_LCDM, P(xi-0.03)/P_LCDM
7.138524633927496692e-03,1.032112938512829148e+00,9.698950012181574154e-01
7.344793662957885272e-03,1.031721292491107222e+00,9.702424289984777905e-01
7.557022874871845153e-03,1.031319165320934816e+00,9.705992511372023568e-01
7.775384490289096416e-03,1.030906335883241320e+00,9.709658218445362809e-01
8.000055706176940548e-03,1.030482657300555438e+00,9.713424087382757088e-01
8.231218839642831173e-03,1.030047672247971446e+00,9.717294090038125498e-01
8.469061475881740214e-03,1.029600706067301585e+00,9.721274405213341518e-01
8.713776620398608688e-03,1.029141393147187333e+00,9.725368056592771371e-01
8.965562855629174988e-03,1.028669294433564030e+00,9.729578066688974181e-01
9.224624502086517172e-03,1.028183520302401011e+00,9.733911653742880477e-01
9.491171784163820319e-03,1.027683647458021543e+00,9.738374506964012634e-01
9.765421000728191636e-03,1.027169367506816311e+00,9.742970734689355705e-01
1.004759470064366979e-02,1.026640065745277663e+00,9.747705818067927686e-01
1.033792186336613718e-02,1.026094998957281401e+00,9.752587111451901380e-01
1.063663808475645393e-02,1.025533708146410428e+00,9.757619035384654804e-01
1.094398576826276052e-02,1.024955688251840025e+00,9.762806015967118167e-01
1.126021432162700557e-02,1.024360167166188385e+00,9.768154648135102258e-01
1.158558035927534195e-02,1.023746582374236214e+00,9.773670579824776938e-01
1.192034791055665219e-02,1.023114422213568186e+00,9.779358748334076035e-01
1.226478863399814434e-02,1.022463066795530118e+00,9.785224705072494977e-01
1.261918203775191406e-02,1.021791883652962474e+00,9.791275223192720256e-01
1.298381570641135227e-02,1.021100338704791000e+00,9.797516449092220636e-01
1.335898553438145779e-02,1.020387967566046106e+00,9.803954314440241902e-01
1.374499596599241744e-02,1.019654568305282671e+00,9.810591872592571150e-01
1.414216024255133229e-02,1.018899615581086993e+00,9.817433381266351677e-01
1.455080065653253929e-02,1.018122537853277887e+00,9.824483927926077609e-01
1.497124881311280749e-02,1.017323614169451496e+00,9.831744197100920069e-01
1.540384589926365594e-02,1.016503050362705052e+00,9.839211024714874521e-01
1.584894296061913066e-02,1.015660379990894979e+00,9.846888475841184540e-01
1.630690118634374117e-02,1.014795666754024550e+00,9.854779106123998655e-01
1.677809220223170500e-02,1.013910967032245258e+00,9.862867903148963000e-01
1.726289837227534818e-02,1.013006481962020366e+00,9.871150749579019612e-01
1.776171310894739466e-02,1.012082158949670241e+00,9.879628358325597270e-01
1.827494119244889303e-02,1.011141134196357871e+00,9.888283972224418683e-01
1.880299909918190654e-02,1.010186063996024286e+00,9.897086828573836703e-01
1.934631533971347198e-02,1.009217455223447191e+00,9.906029024011417938e-01
1.990533080650507339e-02,1.008237450849815975e+00,9.915097282326652550e-01
2.048049913168985964e-02,1.007253483350126544e+00,9.924230525002686321e-01
2.107228705518786327e-02,1.006267961882855166e+00,9.933399412308783205e-01
2.168117480345801984e-02,1.005282742617124692e+00,9.942586010027661958e-01
2.230765647919425929e-02,1.004305713581172599e+00,9.951737711776880158e-01
2.295224046228197881e-02,1.003343653316534523e+00,9.960777330932156781e-01
2.361544982234018569e-02,1.002399911608715666e+00,9.969664235094085614e-01
2.429782274318417756e-02,1.001481155087428521e+00,9.978345683622436013e-01
