# k[1/Mpc], P(xi+0.03)/P_LCDM, P(xi-0.03)/P_LCDM
1.000000000000000021e-03,9.890517020995661657e-01,1.010949893202624184e+00
1.028895190478161178e-03,9.889969009702018754e-01,1.011002073209074315e+00
1.058625312989092647e-03,9.889401486376092620e-01,1.011056135310073101e+00
1.089214493052915577e-03,9.888814117339221887e-01,1.011112152904404704e+00
1.120687553301254625e-03,9.888206476798140354e-01,1.011170200612770520e+00
1.153070033620398746e-03,9.887577653997119409e-01,1.011230359607092399e+00
1.186388211876521128e-03,9.886926943058194084e-01,1.011292637404847650e+00
1.220669125239738249e-03,9.886253687483393948e-01,1.011357023874359440e+00
1.255940592124352249e-03,9.885556993850851404e-01,1.011423539143761596e+00
1.292231234763039976e-03,9.884836507143658357e-01,1.011492274950940740e+00
1.329570502433348803e-03,9.884092278241166651e-01,1.011563307862634487e+00
1.367988695355305123e-03,9.883324223921116092e-01,1.011636716200867037e+00
1.407516989279569220e-03,9.882531427584959616e-01,1.011712592772982866e+00
1.448187460786050460e-03,9.881712922076341110e-01,1.011790986632583822e+00
1.490033113313549498e-03,9.880867771301714564e-01,1.011871935853486892e+00
1.533087903941512172e-03,9.879994832865520715e-01,1.011955507999081183e+00
1.577386770945668698e-03,9.879093667034960502e-01,1.012041796508575953e+00
1.622965662149875379e-03,9.878164232137608414e-01,1.012130856165707415e+00
1.669861564097212866e-03,9.877206340209121471e-01,1.012222744941030150e+00
1.718112532063962054e-03,9.876219147844917945e-01,1.012317547783695870e+00
1.767757720940867777e-03,9.875201967433510086e-01,1.012415315639574320e+00
1.818837417006694381e-03,9.874154139023005872e-01,1.012516089948849451e+00
1.871393070619911453e-03,9.873074515494474346e-01,1.012619941899412845e+00
1.925467329854984840e-03,9.871962183112473754e-01,1.012726941413536919e+00
1.981104075110623041e-03,9.870816538972824183e-01,1.012837110864426737e+00
2.038348454718006027e-03,9.869636836647696088e-01,1.012950480116298735e+00
2.097246921577950330e-03,9.868422245377040936e-01,1.013067157546793995e+00
2.157847270856682632e-03,9.867172648724463757e-01,1.013187253810449606e+00
2.220198678770868989e-03,9.865887963172059738e-01,1.013310871559294446e+00
2.284351742493315098e-03,9.864567314844866486e-01,1.013438135828292674e+00
2.350358521211781508e-03,9.863209549717798508e-01,1.013569117466602165e+00
2.418272578374164924e-03,9.861813726053725304e-01,1.013703827413048320e+00
2.488149025154403129e-03,9.860378704906165304e-01,1.013842288028557803e+00
2.560044565174291083e-03,9.858903316375254855e-01,1.013984607249548864e+00
2.634017540517586201e-03,9.857387282683756080e-01,1.014130871100214382e+00
2.710127979073659495e-03,9.855830352672101391e-01,1.014281155309044946e+00
2.788437643249189971e-03,9.854231649708561358e-01,1.014435572219640758e+00
2.869010080087350343e-03,9.852590541212827846e-01,1.014594216973129903e+00
2.951910672835241813e-03,9.850906663006245845e-01,1.014757138926929647e+00
3.037206694001333158e-03,9.849179336924035466e-01,1.014924399896135476e+00
3.124967359946051026e-03,9.847407254893826289e-01,1.015096120877105879e+00
3.215263887049728698e-03,9.845589690606226796e-01,1.015272370990751849e+00
3.308169549503587291e-03,9.843725903482027917e-01,1.015453209448740290e+00
3.403759738770546165e-03,9.841814263108057403e-01,1.015638766441973484e+00
3.502112024764220989e-03,9.839853876195137072e-01,1.015829161270945136e+00
3.603306218795641891e-03,9.837844274479252693e-01,1.016024451171474663e+00
3.707424438338888587e-03,9.835784499392861147e-01,1.016224714738521717e+00
3.814551173668080577e-03,9.833672854917667738e-01,1.016430116744365897e+00
3.924773356419917342e-03,9.831508533108619385e-01,1.016640746355707225e+00
4.038180430137283151e-03,9.829290695990197113e-01,1.016856681036945265e+00
4.154864422851287271e-03,9.827017637344278578e-01,1.017078083017200152e+00
4.274920021760510690e-03,9.824688689439352585e-01,1.017305097937991620e+00
4.398444650068189868e-03,9.822303616432873641e-01,1.017537810095637152e+00
4.525538546039559011e-03,9.819861322511881374e-01,1.017776339004971442e+00
4.656304844343637540e-03,9.817359456774036319e-01,1.018020899411488323e+00
4.790849659745331952e-03,9.814796875825566591e-01,1.018271564156394193e+00
4.929282173215912208e-03,9.812172318423486583e-01,1.018528391886276419e+00
5.071714720531590725e-03,9.809482788021686162e-01,1.018791606260231575e+00
5.218262883432250518e-03,9.806726813665154197e-01,1.019061441272420820e+00
5.369045583414144493e-03,9.803903556639107508e-01,1.019338049378494260e+00
5.524185178232832172e-03,9.801011204032195057e-01,1.019621629806003904e+00
5.683807561194504851e-03,9.798047236894037448e-01,1.019912474416903025e+00
5.848042263316438442e-03,9.795010704435428428e-01,1.020210697172949432e+00
6.017022558439303823e-03,9.791900376838924558e-01,1.020516401494053760e+00
6.190885571376807117e-03,9.788712015062517313e-01,1.020829938417389338e+00
6.369772389190240039e-03,9.785443306912045003e-01,1.021151623000107644e+00
6.553828175678430394e-03,9.782092748673507643e-01,1.021481654331325428e+00
6.743202289175798982e-03,9.778657093900628983e-01,1.021820317835499869e+00
6.938048403754313448e-03,9.775132101215625591e-01,1.022168060080747232e+00
