# k[1/Mpc], P(xi+0.03)/P_LCDM, P(xi-0.03)/P_LCDM
7.138524633927496692e-03,9.771515919449887955e-01,1.022525067707006130e+00
7.344793662957885272e-03,9.767806291884791881e-01,1.022891517627968705e+00
7.557022874871845153e-03,9.763997618104697240e-01,1.023267893562671560e+00
7.775384490289096416e-03,9.760086971078260065e-01,1.023654611942039772e+00
8.000055706176940548e-03,9.756072282389055550e-01,1.024051964206506016e+00
8.231218839642831173e-03,9.751948832678142276e-01,1.024460377005714573e+00
8.469061475881740214e-03,9.747710736159355127e-01,1.024880510487585106e+00
8.713776620398608688e-03,9.743355182610032861e-01,1.025312698962972835e+00
8.965562855629174988e-03,9.738878777174131418e-01,1.025757273068351294e+00
9.224624502086517172e-03,9.734274151391412166e-01,1.026214906373315694e+00
9.491171784163820319e-03,9.729537017511299402e-01,1.026686111932865408e+00
9.765421000728191636e-03,9.724663948603653463e-01,1.027171264232767056e+00
1.004759470064366979e-02,9.719648637881945774e-01,1.027670894478404984e+00
1.033792186336613718e-02,9.714483967864714353e-01,1.028185806205937691e+00
1.063663808475645393e-02,9.709165719790496807e-01,1.028716522474347750e+00
1.094398576826276052e-02,9.703689170860292368e-01,1.029263569256493760e+00
1.126021432162700557e-02,9.698046772684549843e-01,1.029827726189933124e+00
1.158558035927534195e-02,9.692233377465953037e-01,1.030409627465277200e+00
1.192034791055665219e-02,9.686244397696213149e-01,1.031009815662107032e+00
1.226478863399814434e-02,9.680074389690594971e-01,1.031628870669357489e+00
1.261918203775191406e-02,9.673717207935411677e-01,1.032267417309058466e+00
1.298381570641135227e-02,9.667167184235910815e-01,1.032926019944129914e+00
1.335898553438145779e-02,9.660419331315251990e-01,1.033605222042199179e+00
1.374499596599241744e-02,9.653471573200600453e-01,1.034305321313945925e+00
1.414216024255133229e-02,9.646319212757000772e-01,1.035026837781764408e+00
1.455080065653253929e-02,9.638957137234882566e-01,1.035770388688095123e+00
1.497124881311280749e-02,9.631388236747637777e-01,1.036536123176178270e+00
1.540384589926365594e-02,9.623614732245954206e-01,1.037323722810920001e+00
1.584894296061913066e-02,9.615632527488012782e-01,1.038133592484233425e+00
1.630690118634374117e-02,9.607442551973829348e-01,1.038965975008418585e+00
1.677809220223170500e-02,9.599064183092229641e-01,1.039819237550288822e+00
1.726289837227534818e-02,9.590498569241219240e-01,1.040692916568161763e+00
1.776171310894739466e-02,9.581744415011135274e-01,1.041587065294508507e+00
1.827494119244889303e-02,9.572830851238310901e-01,1.042499913824013413e+00
1.880299909918190654e-02,9.563783466134981870e-01,1.043428273864766220e+00
1.934631533971347198e-02,9.554607763581837165e-01,1.044371373181365525e+00
1.990533080650507339e-02,9.545324752775392607e-01,1.045327869241511776e+00
2.048049913168985964e-02,9.536005165954941631e-01,1.046291301869584744e+00
2.107228705518786327e-02,9.526671576591865254e-01,1.047258491301613192e+00
2.168117480345801984e-02,9.517341285254349303e-01,1.048227458668024914e+00
2.230765647919425929e-02,9.508088634349667334e-01,1.049192595021763985e+00
2.295224046228197881e-02,9.498977691781550492e-01,1.050145808009432358e+00
2.361544982234018569e-02,9.490040180917939105e-01,1.051082889267933806e+00
2.429782274318417756e-02,9.481339367523660133e-01,1.051998347801706535e+00
2.499991295955309237e-02,9.473025801234755683e-01,1.052877989282994475e+00
2.572229020645684650e-02,9.465164901680611642e-01,1.053714508231879510e+00
2.646554068150696812e-02,9.457811373257125620e-01,1.054502522549098043e+00
2.723026752060665051e-02,9.450955286116186072e-01,1.055240744168787437e+00
2.801709128738588336e-02,9.444613850885508199e-01,1.055926896190130027e+00
2.882665047677894499e-02,9.438839618841546875e-01,1.056553178398867754e+00
2.965960203315286259e-02,9.433766295920882339e-01,1.057108208131552818e+00
3.051662188340728901e-02,9.429708692628441247e-01,1.057562524776927582e+00
3.139840548547838395e-02,9.426779063010474191e-01,1.057905853660362716e+00
3.230566839269184004e-02,9.425016702388632206e-01,1.058132909429337465e+00
3.323914683442300011e-02,9.423796239697820321e-01,1.058291233308471524e+00
3.419959831353523716e-02,9.422865277237414405e-01,1.058416728892122904e+00
3.518780222108145589e-02,9.422176950617141555e-01,1.058516400559909476e+00
3.620456046876748685e-02,9.421892918181241638e-01,1.058581454174450043e+00
3.725069813969064669e-02,9.422095847091914722e-01,1.058600330811575674e+00
3.832706415788151438e-02,9.422706133259043382e-01,1.058573044399591767e+00
3.943453197719223174e-02,9.423065131290410124e-01,1.058553077529132969e+00
4.057400029009036041e-02,9.422918833186542109e-01,1.058577182782853177e+00
4.174639375693350862e-02,9.422082739180542843e-01,1.058667027852983056e+00
4.295266375631644207e-02,9.420336752707791916e-01,1.058847742800715475e+00
4.419378915709964301e-02,9.417488657721907463e-01,1.059139433328003976e+00
4.547077711274575412e-02,9.413214823803992548e-01,1.059573443792434899e+00
4.678466387860858583e-02,9.407283067250102881e-01,1.060177693460135906e+00
4.813651565283775385e-02,9.399703311680815965e-01,1.060961036222888731e+00
4.952742944158151223e-02,9.390439310364848691e-01,1.061922452581106180e+00
5.095853394918972712e-02,9.379671337004886755e-01,1.063052898732434359e+00
5.243099049413943447e-02,9.367566845169877920e-01,1.064324782222631827e+00
5.394599395142628262e-02,9.354474351534474152e-01,1.065712688157534060e+00
5.550477372218650535e-02,9.340735611658163018e-01,1.067170401185985940e+00
5.710859473133635122e-02,9.326804081031383475e-01,1.068661773299587114e+00
5.875875845403846082e-02,9.313054821613504508e-01,1.070141113449427861e+00
6.045660397182819890e-02,9.300234690584509023e-01,1.071543682771709749e+00
6.220350905925696450e-02,9.288997924887142377e-01,1.072798722980913277e+00
6.400089130193424569e-02,9.280539312288201836e-01,1.073786410029262450e+00
6.585020924687576271e-02,9.275523057567710561e-01,1.074420908385403273e+00
6.775296358609105007e-02,9.274574053795944240e-01,1.074629292521868340e+00
6.971069837437110506e-02,9.277812815602191066e-01,1.074373059778245931e+00
7.172500228226423580e-02,9.284190452037311969e-01,1.073762952940013449e+00
7.379750988525685118e-02,9.292673007822110920e-01,1.072886179363293335e+00
7.592990299020536960e-02,9.301503717070505051e-01,1.071958530989370439e+00
7.812391200009570491e-02,9.309222290557670476e-01,1.071121184751771649e+00
8.038131731823761061e-02,9.314547630670413358e-01,1.070524870048698451e+00
8.270395079303365093e-02,9.316200815365045518e-01,1.070297031174740843e+00
8.509369720449487529e-02,9.313231813882377752e-01,1.070538738628031616e+00
8.755249579370977253e-02,9.304980823729495087e-01,1.071336109866799724e+00
9.008234183650747073e-02,9.291792460750984972e-01,1.072664257370464558e+00
9.268528826259223030e-02,9.274774920791338806e-01,1.074441911968205154e+00
9.536344732146316561e-02,9.255626237648950649e-01,1.076488164119022262e+00
9.811899229647098875e-02,9.236456382658295716e-01,1.078581368454262002e+00
1.009541592684027461e-01,9.219681207422539826e-01,1.080481360155748360e+00
1.038712489300259723e-01,9.208163162317037909e-01,1.081893213597172609e+00
1.068726284530635701e-01,9.204670206285608947e-01,1.082479309592077277e+00
1.099607334091167177e-01,9.210083444892450677e-01,1.082066041744313312e+00
1.131380697460914464e-01,9.222110248478009309e-01,1.080856605390793979e+00
1.164072158217363678e-01,9.236502237555201944e-01,1.079322953026162768e+00
1.197708244959378582e-01,9.249203654151313403e-01,1.077920639884192067e+00
1.232316252834745329e-01,9.256784228735750464e-01,1.076999486678958728e+00
1.267924265689739094e-01,9.255909049239233743e-01,1.076905179652855260e+00
1.304561178858728299e-01,9.244820920492369254e-01,1.077902980787230902e+00
1.342256722612265585e-01,9.225790765816097583e-01,1.079869481445574930e+00
1.381041486282740816e-01,9.204191347816107482e-01,1.082242852171081848e+00
1.420946943087123548e-01,9.185391364069003250e-01,1.084395106995188929e+00
1.462005475666988408e-01,9.173999301072960355e-01,1.085833664400781107e+00
1.504250402366500705e-01,9.173491160528574051e-01,1.086148908211853392e+00
1.547716004269732992e-01,9.183258919605571391e-01,1.085274034688021638e+00
1.592437553019205587e-01,9.197990299778153744e-01,1.083716936269672360e+00
1.638451339438274090e-01,9.210671777889121170e-01,1.082245507154427466e+00
1.685794702980541460e-01,9.213940907421306337e-01,1.081649966765319215e+00
1.734506062030241047e-01,9.204114839246581026e-01,1.082469175725078836e+00
1.784624945078130409e-01,9.186374013872655730e-01,1.084357730198810099e+00
1.836192022798242840e-01,9.168678327783481574e-01,1.086360308575384570e+00
1.889249141051478065e-01,9.156694621917462751e-01,1.087843062799622063e+00
1.943839354842865075e-01,9.156378925918329248e-01,1.088177887450104242e+00
2.000006963259995663e-01,9.166371109570863318e-01,1.087227405022623605e+00
2.057797545421043983e-01,9.176789771234326043e-01,1.086016947067956817e+00
2.117257997461477748e-01,9.180459365057017651e-01,1.085454228663828902e+00
2.178436570589539489e-01,9.173199499324987682e-01,1.086023103179427851e+00
2.241382910241316584e-01,9.158653682282987818e-01,1.087567524838008337e+00
2.306148096367237055e-01,9.147248602590386524e-01,1.088981355588228173e+00
2.372784684882617290e-01,9.144245608443511975e-01,1.089506358342440695e+00
2.441346750315966929e-01,9.149542630525901998e-01,1.089067842791365814e+00
2.511889929689586354e-01,9.155506330623365274e-01,1.088354115017302171e+00
2.584471467668144617e-01,9.154907139549987027e-01,1.088267611163628246e+00
2.659150263011788584e-01,9.146625622432038583e-01,1.089056583046726034e+00
2.735986916371569433e-01,9.137723388759511067e-01,1.090134577030690943e+00
2.815043779465883356e-01,9.134451442446159808e-01,1.090616704534515868e+00
2.896385005677915569e-01,9.136867278029860984e-01,1.090475123734739871e+00
2.980076602115069306e-01,9.138708674814106647e-01,1.090178668745078738e+00
3.066186483172698707e-01,9.135864864168112831e-01,1.090427741707480136e+00
3.154784525645537019e-01,9.129321436835317050e-01,1.091110684406167541e+00
3.245942625431623707e-01,9.125949812935418848e-01,1.091604378844973855e+00
3.339734755874653183e-01,9.125630873253278708e-01,1.091697436036916491e+00
3.436237027792189980e-01,9.125917982970673803e-01,1.091631803821010660e+00
3.535527751238355942e-01,9.122973689405923237e-01,1.091924661953064923e+00
3.637687499051217022e-01,9.118894405346423815e-01,1.092377469188687611e+00
3.742799172236327410e-01,9.117182670841021963e-01,1.092634529404842514e+00
3.850948067239604589e-01,9.116382699161164060e-01,1.092747431032955685e+00
3.962221945163999504e-01,9.114370552178497897e-01,1.092929386542757619e+00
4.076711102986267932e-01,9.111650271417296443e-01,1.093233326378338921e+00
4.194508446831490822e-01,9.109778172295330823e-01,1.093495148573935705e+00
4.315709567364947596e-01,9.108114962008613258e-01,1.093658888760886683e+00
4.440412817362380249e-01,9.106934374727255754e-01,1.093863891815241240e+00
4.568719391521739448e-01,9.105663702040797114e-01,1.094001488188397930e+00
4.700733408581028727e-01,9.104070002149794449e-01,1.094153381100837485e+00
4.836561995809038894e-01,9.102230794246854995e-01,1.094348094154122375e+00
4.976315375937376273e-01,9.100223559700779674e-01,1.094573595156124846e+00
5.120106956604494330e-01,9.098125724471348708e-01,1.094817842614874248e+00
5.268053422384140205e-01,9.096014648113545098e-01,1.095068785784726995e+00
5.420274829473064049e-01,9.093967619363522159e-01,1.095314363265667446e+00
5.576894703114670948e-01,9.092053440948423271e-01,1.095543784374033880e+00
5.738040137837824295e-01,9.090277539101582205e-01,1.095755883428478183e+00
5.903841900591981773e-01,9.088616519317102016e-01,1.095953641861316274e+00
6.074434536862542977e-01,9.087046863363296145e-01,1.096139818411421274e+00
6.249956479852307734e-01,9.085545072502618780e-01,1.096317163063260658e+00
6.430550162817864068e-01,9.084087665434698033e-01,1.096488427849338088e+00
6.616362134651857518e-01,9.082651176846703311e-01,1.096656366662851712e+00
6.807543178805123274e-01,9.081212242143438251e-01,1.096823724934891775e+00
7.004248435645004101e-01,9.079757388371645366e-01,1.096992071600597862e+00
7.206637528349336685e-01,9.078292079615956078e-01,1.097160792761310955e+00
7.414874692438055970e-01,9.076823916301602901e-01,1.097329291524125061e+00
7.629128909047757645e-01,9.075360493953436025e-01,1.097497032764293667e+00
7.849574042057139156e-01,9.073909403203944679e-01,1.097663481031078581e+00
8.076388979174818905e-01,9.072478229864605614e-01,1.097828100552740827e+00
8.309757777103796705e-01,9.071074555060719691e-01,1.097990355244161442e+00
8.549869810900601053e-01,9.069705233637640474e-01,1.098149783982082406e+00
8.796919927650054261e-01,9.068370048232530234e-01,1.098306643006808470e+00
9.051108604580644368e-01,9.067064780161089299e-01,1.098461271125602101e+00
9.312642111748525853e-01,9.065785167903882558e-01,1.098613731426385964e+00
9.581732679422455545e-01,9.064526952584058828e-01,1.098764078384177667e+00
9.858598670305188660e-01,9.063285877856965822e-01,1.098912366516717087e+00
1.014346475673141512e+00,9.062057689819723594e-01,1.099058650383420321e+00
1.043656210298568476e+00,9.060838142699925157e-01,1.099202984706667996e+00
1.073812855288862611e+00,9.059624699546082738e-01,1.099345460455391166e+00
1.104840882280332393e+00,9.058418903475913275e-01,1.099486207144091843e+00
1.136765470021883440e+00,9.057222893332446123e-01,1.099625225876242673e+00
1.169612524807162268e+00,9.056038806854987966e-01,1.099762492040271100e+00
1.203408701497109545e+00,9.054868780704697917e-01,1.099897981020949933e+00
1.238181425149945003e+00,9.053714950495365121e-01,1.100031668199788148e+00
1.273958913276175275e+00,9.052579450829085772e-01,1.100163528955426573e+00
1.310770198736641579e+00,9.051464254700075651e-01,1.100293545401896500e+00
1.348645153302235444e+00,9.050369242118784241e-01,1.100421783503136242e+00
1.387614511894352365e+00,9.049292828578601178e-01,1.100548320673481850e+00
1.427709897525802019e+00,9.048233400302401197e-01,1.100673201113124833e+00
1.468963846962366038e+00,9.047189344367752017e-01,1.100796468365913050e+00
1.511409837125875955e+00,9.046159048678095171e-01,1.100918166002679888e+00
1.555082312260196442e+00,9.045140901936858935e-01,1.101038337620607432e+00
1.600016711882174203e+00,9.044133293937898221e-01,1.101157026880271950e+00
1.646249499540252570e+00,9.043135076899472269e-01,1.101274332629227137e+00
1.693818192404045631e+00,9.042146490280286164e-01,1.101390431159756211e+00
1.742761391708937069e+00,9.041168032749374861e-01,1.101505318370033848e+00
1.793118814080352230e+00,9.040200202791538464e-01,1.101618959487087324e+00
1.844931323763180364e+00,9.039243498712986602e-01,1.101731319727897729e+00
1.898240965782443501e+00,9.038298418647450205e-01,1.101842364299810972e+00
1.953091000062177951e+00,9.037365460562369890e-01,1.101952058400934797e+00
2.009525936530156986e+00,9.036445095471926647e-01,1.102060370339558171e+00
2.067591571237003212e+00,9.035537315505213218e-01,1.102167320818470797e+00
2.127335023518936996e+00,9.034641699960035410e-01,1.102272945949253735e+00
2.188804774234382577e+00,9.033757814815208675e-01,1.102377264937060009e+00
2.252050705105393735e+00,9.032885226264809608e-01,1.102480296788666880e+00
2.317124139195893662e+00,9.032023500712694775e-01,1.102582060522645069e+00
2.384077882559504591e+00,9.031172204767197176e-01,1.102682575169142698e+00
2.452966267090835206e+00,9.030330905236295669e-01,1.102781859769836670e+00
2.523845194614928733e+00,9.029499225326008682e-01,1.102879969629541934e+00
2.596772182250721706e+00,9.028677002027115650e-01,1.102977020973525013e+00
2.671806409085246692e+00,9.027864123161256638e-01,1.103073009998370546e+00
2.749008764196539722e+00,9.027060476618775642e-01,1.103167915402103016e+00
2.828441896064133321e+00,9.026265950357610368e-01,1.103261715878669280e+00
2.910170263407320768e+00,9.025480432402132047e-01,1.103354390118141071e+00
2.994260187492356007e+00,9.024703810842071849e-01,1.103445916806934157e+00
3.080779905951125386e+00,9.023935974832352214e-01,1.103536276050052445e+00
3.169799628154875037e+00,9.023176839254208881e-01,1.103625483467011614e+00
3.261391592188017885e+00,9.022426346263707764e-01,1.103713586115399936e+00
3.355630123468164250e+00,9.021684439373449660e-01,1.103800629584082316e+00
3.452591695060036159e+00,9.020951062138545806e-01,1.103886659461413400e+00
3.552354989732113388e+00,9.020226158156052776e-01,1.103971721352913882e+00
3.655000963806473102e+00,9.019509671064478429e-01,1.104055860880863715e+00
3.760612912853523948e+00,9.018801544543262327e-01,1.104139123683907986e+00
3.869276539285062988e+00,9.018101698787699405e-01,1.104221574693519337e+00
3.981080021900385457e+00,9.017409940581087024e-01,1.104303297594990907e+00
4.096114087442003004e+00,9.016726042626196369e-01,1.104384278850126799e+00
4.214472084218919612e+00,9.016049777708269319e-01,1.104464493692437932e+00
4.336250057857323092e+00,9.015380918699943402e-01,1.104543917349846804e+00
4.461546829240047529e+00,9.014719238559391057e-01,1.104622525044868464e+00
4.590464074698179964e+00,9.014064510328475555e-01,1.104700291994783701e+00
4.723106408519740285e+00,9.013416509343934457e-01,1.104777194263836915e+00
4.859581467842546409e+00,9.012775098010483710e-01,1.104853237194564741e+00
5.000000000000000888e+00,9.012140252340932189e-01,1.104928444310892877e+00
