# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
1.381499961638322366e-02,1.181635436001449140e-07,5.388640142220210582e-10,5.388640142220210582e-10
1.397537301842291003e-02,1.181226361542992355e-07,5.451194958569251999e-10,5.451194958569251999e-10
1.413760813807360579e-02,1.180817428703437459e-07,5.514475952183970145e-10,5.514475952183970145e-10
1.430172658735088045e-02,1.180408637433756333e-07,5.578491553030891625e-10,5.578491553030891625e-10
1.446775022915647996e-02,1.179999987684939254e-07,5.643250288938599038e-10,5.643250288938599038e-10
1.463570118019079727e-02,1.179591479407991585e-07,5.708760786733858373e-10,5.708760786733858373e-10
1.480560181389910766e-02,1.179183112553937353e-07,5.775031773390918237e-10,5.775031773390918237e-10
1.497747476345201618e-02,1.178774887073816863e-07,5.842072077194170100e-10,5.842072077194170100e-10
1.515134292476053024e-02,1.178366802918686961e-07,5.909890628914305039e-10,5.909890628914304005e-10
1.532722945952613366e-02,1.177958860039622363e-07,5.978496462998139634e-10,5.978496462998139634e-10
1.550515779832624570e-02,1.177551058387713932e-07,6.047898718772243379e-10,6.047898718772243379e-10
1.568515164373547946e-02,1.177143397914069734e-07,6.118106641660539235e-10,6.118106641660539235e-10
1.586723497348317691e-02,1.176735878569815042e-07,6.189129584416057245e-10,6.189129584416057245e-10
1.605143204364761420e-02,1.176328500306091539e-07,6.260977008366998379e-10,6.260977008366998379e-10
1.623776739188721729e-02,1.175921263074057983e-07,6.333658484677245083e-10,6.333658484677245083e-10
1.642626584070932053e-02,1.175514166824890467e-07,6.407183695621518092e-10,6.407183695621518092e-10
1.661695250077688951e-02,1.175107211509781498e-07,6.481562435875349089e-10,6.481562435875349089e-10
1.680985277425363703e-02,1.174700397079940655e-07,6.556804613820039806e-10,6.556804613820039806e-10
1.700499235818793073e-02,1.174293723486593794e-07,6.632920252862760597e-10,6.632920252862760597e-10
1.720239724793599240e-02,1.173887190680985303e-07,6.709919492771973563e-10,6.709919492771973563e-10
1.740209374062485007e-02,1.173480798614374523e-07,6.787812591028386002e-10,6.787812591028386002e-10
1.760410843865552535e-02,1.173074547238038928e-07,6.866609924191594430e-10,6.866609924191594430e-10
1.780846825324682026e-02,1.172668436503272404e-07,6.946321989282578428e-10,6.946321989282578428e-10
1.801520040802025505e-02,1.172262466361386039e-07,7.026959405182257291e-10,7.026959405182257291e-10
1.822433244262666382e-02,1.171856636763706940e-07,7.108532914046306990e-10,7.108532914046305956e-10
1.843589221641487794e-02,1.171450947661579813e-07,7.191053382736397695e-10,7.191053382736397695e-10
1.864990791214297255e-02,1.171045399006366438e-07,7.274531804268054532e-10,7.274531804268054532e-10
1.886640803973258299e-02,1.170639990749444345e-07,7.358979299275324582e-10,7.358979299275323548e-10
1.908542144006685967e-02,1.170234722842208665e-07,7.444407117492476556e-10,7.444407117492476556e-10
1.930697728883249559e-02,1.169829595236071603e-07,7.530826639252911007e-10,7.530826639252911007e-10
1.953110510040631867e-02,1.169424607882462173e-07,7.618249377005460972e-10,7.618249377005460972e-10
1.975783473178701483e-02,1.169019760732825005e-07,7.706686976848310528e-10,7.706686976848310528e-10
1.998719638657250539e-02,1.168615053738623126e-07,7.796151220080745301e-10,7.796151220080745301e-10
2.021922061898353412e-02,1.168210486851334782e-07,7.886654024772932404e-10,7.886654024772932404e-10
2.045393833793389404e-02,1.167806060022456618e-07,7.978207447353911788e-10,7.978207447353912822e-10
2.069138081114790112e-02,1.167401773203501158e-07,8.070823684218042000e-10,8.070823684218042000e-10
2.093157966932573943e-02,1.166997626345997605e-07,8.164515073350124710e-10,8.164515073350124710e-10
2.117456691035711838e-02,1.166593619401493026e-07,8.259294095969403426e-10,8.259294095969402392e-10
2.142037490358384214e-02,1.166189752321549446e-07,8.355173378192651481e-10,8.355173378192650448e-10
2.166903639411182914e-02,1.165786025057747284e-07,8.452165692716578813e-10,8.452165692716577779e-10
2.192058450717325815e-02,1.165382437561682976e-07,8.550283960519804670e-10,8.550283960519804670e-10
2.217505275253931624e-02,1.164978989784969763e-07,8.649541252584596837e-10,8.649541252584595803e-10
2.243247502898419038e-02,1.164575681679237698e-07,8.749950791638617254e-10,8.749950791638617254e-10
2.269288562880080948e-02,1.164172513196133376e-07,8.851525953916885994e-10,8.851525953916885994e-10
2.295631924236909635e-02,1.163769484287320993e-07,8.954280270944243815e-10,8.954280270944242781e-10
2.322281096277724680e-02,1.163366594904480363e-07,9.058227431338534552e-10,9.058227431338534552e-10
2.349239629049659078e-02,1.162963844999308904e-07,9.163381282634713110e-10,9.163381282634714144e-10
2.376511113811075396e-02,1.162561234523519518e-07,9.269755833130162367e-10,9.269755833130163401e-10
2.404099183509971968e-02,1.162158763428843766e-07,9.377365253751458867e-10,9.377365253751456799e-10
2.432007513267947507e-02,1.161756431667028036e-07,9.486223879942845811e-10,9.486223879942845811e-10
2.460239820869776495e-02,1.161354239189836579e-07,9.596346213576643900e-10,9.596346213576643900e-10
2.488799867258667184e-02,1.160952185949049795e-07,9.707746924885835794e-10,9.707746924885835794e-10
2.517691457037277147e-02,1.160550271896464893e-07,9.820440854419176767e-10,9.820440854419176767e-10
2.546918438974540150e-02,1.160148496983896021e-07,9.934443015018985618e-10,9.934443015018985618e-10
2.576484706518375814e-02,1.159746861163173870e-07,1.004976859382194568e-09,1.004976859382194568e-09
2.606394198314349736e-02,1.159345364386145413e-07,1.016643295428313927e-09,1.016643295428313927e-09
2.636650898730358294e-02,1.158944006604674957e-07,1.028445163822364851e-09,1.028445163822364851e-09
2.667258838387405462e-02,1.158542787770642958e-07,1.040384036790194997e-09,1.040384036790194790e-09
2.698222094696537190e-02,1.158141707835946812e-07,1.052461504810938035e-09,1.052461504810938035e-09
2.729544792402007272e-02,1.157740766752500459e-07,1.064679176828997492e-09,1.064679176828997285e-09
2.761231104130753081e-02,1.157339964472234647e-07,1.077038680468494572e-09,1.077038680468494572e-09
2.793285250948253015e-02,1.156939300947096136e-07,1.089541662250213847e-09,1.089541662250214053e-09
2.825711502920828441e-02,1.156538776129049426e-07,1.102189787811067091e-09,1.102189787811067091e-09
2.858514179684474438e-02,1.156138389970074364e-07,1.114984742126109392e-09,1.114984742126109392e-09
2.891697651020299492e-02,1.155738142422168799e-07,1.127928229733142049e-09,1.127928229733142049e-09
2.925266337436644576e-02,1.155338033437346331e-07,1.141021974959925234e-09,1.141021974959925234e-09
2.959224710757955845e-02,1.154938062967636968e-07,1.154267722154033698e-09,1.154267722154033905e-09
2.993577294720490417e-02,1.154538230965087792e-07,1.167667235915384896e-09,1.167667235915384690e-09
